Nation,Region,Recognition,Address,Website
Crow Creek Sioux Tribe,Great Plains,Federal,"PO Box 50, Fort Thompson, SD57339-0050",http://sdtribalrelations.com
Crow Nation,Rocky Mountain,Federal,"PO Box 159 - Bacheeitche Avenue, Crow Agency, MT59022-0159",http://www.crow-nsn.gov
Curyung Tribal Council,Alaska,Federal,"PO Box 216, Dillingham, AK99576-0216",http://www.curyungtribe.com
Delaware Nation,Southern Plains,Federal,"PO Box 825, Anadarko, OK73005-0825",http://www.delawarenation.com
Delaware Tribe of Indians,Eastern Oklahoma,Federal,"5100 Tuxedo Boulevard, Bartlesville, OK74006-",http://www.delawaretribe.org
Douglas Indian Association (IRA),Alaska,Federal,"811 W. 12th Street, Juneau, AK99801-1854",
Dresslerville Colony (Washoe Tribes of Nevada & California),Pacific,Federal,"919 Highwway 395 South, Gardnerville, NV89410",https://www.washoetribe.us/contents/
Dry Creek Rancheria Band of Pomo Indians,Pacific,Federal,"PO Box 607, Geyserville, CA95441-0607",http://www.drycreekrancheria.com
Duckwater Shoshone Tribe of the Duckwater Reservation,Western,Federal,"PO Box 140068, Duckwater, NV89314-0068",http://www.duckwatertribe.org
Eastern Band of Cherokee Indians,Southeast,Federal,"PO Box 455, Cherokee, NC28719-0455",https://ebci.com/
Eastern Pequot Tribal Nation,Northeast,State,"391 Norwich- Westerly Road, North Stonington , CT06359",
Eastern Shawnee Tribe of Oklahoma,Eastern Oklahoma,Federal,"12755 S 705 Rd, Wyandotte, OK74370-3148",https://estoo-nsn.gov/
Eastern Shoshone Tribe of Wind River Indian Reservation,Rocky Mountain,Federal,"PO Box 538, Fort Washakie, WY82514-0538",https://easternshoshone.org/
Echota Cherokee Tribe of Alabama,Southeast,State,"P.O. Box 479, Falkville , AL35622",https://echotacherokee.org/index.html
Edzeno' Native Village Council,Alaska,Federal,"PO Box 9105, Nikolai, AK99691-0005",
Egegik Village,Alaska,Federal,"PO Box 29, Egegik, AK99579-0029",
Eklutna Native Village,Alaska,Federal,"26339 Eklutna Village Road, Chugiak, AK99567-6339",http://eklutna-nsn.gov
Ekwok Village,Alaska,Federal,"PO Box 70, Ekwok, AK99580-0070",
Elem Indian Colony,Pacific,Federal,"PO Box 757, Lower Lake, CA95457",http://www.elemindiancolony.org/home
Elk Valley Rancheria,Pacific,Federal,"2332 Howland Hill Road, Crescent City, CA95531-9238",http://www.elk-valley.com
Elko Band Council (Te-Moak Tribe of Western Shoshone Indians of Nevada),Western,Federal,"1745 Silver Eagle Drive, Elko, NV89801-5085",http://www.elkobandcouncil.com
Ely Shoshone Tribe of Nevada,Western,Federal,"16 Shoshone Circle, Ely, NV89301-2055",
Emmonak Village,Alaska,Federal,"PO Box 126, Emmonak, AK99581-0126",
Enterprise Rancheria Estom Yumeka Maidu Tribe,Pacific,Federal,"2133 Monte Vista Ave, Oroville, CA95966-6968",http://www.enterpriserancheria.org
